   1  |    1   1   1   1   1   1
   2  |    1   2   2   2   2   2
   3  |    1   3   3   3   3   3
   4  |    1   4   4   4   4   4
   5  |    1   0   0   0   0   0
   6  |    2   1   2   3   4   0
   7  |    2   2   3   4   0   1
   8  |    2   3   4   0   1   2
   9  |    2   4   0   1   2   3
  10  |    2   0   1   2   3   4
  11  |    3   1   3   0   2   4
  12  |    3   2   4   1   3   0
  13  |    3   3   0   2   4   1
  14  |    3   4   1   3   0   2
  10  |    3   0   2   4   1   3
  16  |    4   1   4   2   0   3
  17  |    4   2   0   3   1   4
  18  |    4   3   1   4   2   0
  19  |    4   4   2   0   3   1
  20  |    4   0   3   1   4   2
  21  |    0   1   0   4   3   2
  22  |    0   2   1   0   4   3
  23  |    0   3   2   1   0   4
  24  |    0   4   3   2   1   0
  20  |    0   0   4   3   2   1
